,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,NC1.0,CNT,Fire Alarm
51142,27.45,43.27,48.0,488.0,12844.0,20723,937.586,2.04,2.191,0,False
51143,27.41,43.54,32.0,457.0,12857.0,20743,937.589,2.16,2.313,1,False
51144,27.36,43.76,34.0,455.0,12857.0,20747,937.604,2.19,2.35,2,False
51145,27.32,43.84,29.0,454.0,12858.0,20752,937.61,2.24,2.4,3,True
51146,27.27,43.98,28.0,456.0,12860.0,20751,937.601,2.26,2.4290000000000003,4,True
51147,27.22,44.09,19.0,449.0,12862.0,20754,937.583,2.29,2.46,5,False
51148,27.22,44.13,33.0,463.0,12860.0,20746,937.575,2.36,2.528,6,False
51149,27.2,44.2,43.0,454.0,12854.0,20738,937.58,2.41,2.585,7,False
51150,27.16,44.27,27.0,440.0,12861.0,20749,937.565,2.44,2.6180000000000003,8,False
51151,27.15,44.37,29.0,461.0,12861.0,20743,937.566,2.43,2.612,9,False
51152,27.11,44.4,30.0,459.0,12853.0,20752,937.571,2.42,2.595,10,False
51153,27.14,44.46,25.0,441.0,12862.0,20751,937.565,2.4,2.57,11,False
51154,27.09,44.47,24.0,457.0,12864.0,20755,937.565,2.35,2.522,12,False
51155,27.05,44.55,16.0,450.0,12863.0,20766,937.571,2.32,2.491,13,False
51156,27.02,44.6,17.0,448.0,12858.0,20765,937.573,2.27,2.436,14,False
51157,27.01,44.65,13.0,435.0,12870.0,20766,937.572,2.25,2.411,15,False
51158,26.98,44.74,11.0,441.0,12867.0,20772,937.583,2.19,2.351,16,False
51159,26.95,44.77,11.0,431.0,12868.0,20772,937.575,2.15,2.311,17,False
51160,26.95,44.73,10.0,437.0,12868.0,20767,937.581,2.05,2.2030000000000003,18,False
51161,26.95,44.86,11.0,426.0,12864.0,20771,937.584,2.01,2.162,19,False
51162,26.92,44.83,15.0,431.0,12861.0,20767,937.599,1.96,2.102,20,False
51163,26.94,44.88,15.0,424.0,12870.0,20772,937.595,1.94,2.081,21,False
51164,26.9,44.9,9.0,426.0,12868.0,20772,937.603,1.93,2.074,22,False
51165,28.33,44.79,0.0,402.0,12878.0,20785,937.603,1.94,2.083,23,False
51166,28.77,43.81,0.0,406.0,12879.0,20792,937.609,1.95,2.091,24,False
51167,29.0,42.69,0.0,412.0,12874.0,20793,937.606,1.98,2.122,25,False
51168,29.12,41.85,0.0,410.0,12873.0,20792,937.606,2.02,2.166,26,False
51169,29.22,41.17,0.0,420.0,12876.0,20793,937.607,2.02,2.166,27,False
51170,29.31,40.62,11.0,434.0,12863.0,20782,937.608,2.0,2.142,28,False
51171,29.42,40.3,18.0,420.0,12868.0,20775,937.609,1.96,2.106,29,False
51172,29.48,40.03,26.0,440.0,12863.0,20760,937.609,1.93,2.071,30,False
51173,29.51,39.78,36.0,438.0,12861.0,20759,937.61,1.93,2.073,31,False
51174,29.58,39.64,37.0,455.0,12867.0,20769,937.607,1.93,2.07,32,False
51175,29.63,39.45,21.0,429.0,12863.0,20768,937.602,1.96,2.103,33,False
51176,29.67,39.32,31.0,443.0,12867.0,20761,937.6,1.97,2.112,34,False
51177,29.72,39.23,22.0,425.0,12868.0,20773,937.587,1.97,2.111,35,False
51178,29.74,39.09,28.0,429.0,12863.0,20762,937.591,1.97,2.1180000000000003,36,False
51179,29.77,39.04,28.0,432.0,12863.0,20760,937.587,1.99,2.135,37,False
51196,28.21,39.31,68.0,479.0,12834.0,20721,937.562,2.3,2.468,54,False
51197,28.0,40.3,72.0,477.0,12839.0,20724,937.569,2.33,2.498,55,False
51198,27.85,41.1,68.0,473.0,12841.0,20718,937.566,2.34,2.515,56,False
51199,27.74,41.74,72.0,465.0,12839.0,20718,937.555,2.35,2.517,57,False
51200,27.64,42.2,70.0,470.0,12847.0,20716,937.55,2.32,2.487,58,False
51201,27.57,42.61,65.0,451.0,12849.0,20728,937.56,2.31,2.483,59,False
51202,27.49,42.91,68.0,452.0,12857.0,20728,937.558,2.33,2.497,60,False
51203,27.43,43.16,53.0,432.0,12857.0,20735,937.557,2.33,2.496,61,False
51204,27.36,43.37,68.0,438.0,12854.0,20737,937.559,2.32,2.491,62,False
51205,27.32,43.58,60.0,438.0,12860.0,20737,937.569,2.35,2.519,63,False
51206,27.25,43.75,62.0,438.0,12853.0,20726,937.577,2.36,2.537,64,False
51207,27.2,43.89,67.0,451.0,12852.0,20711,937.581,2.37,2.544,65,False
51208,27.18,44.05,67.0,441.0,12855.0,20725,937.585,2.4,2.58,66,False
51209,27.12,44.08,64.0,434.0,12855.0,20721,937.592,2.41,2.59,67,False
51210,27.11,44.22,61.0,428.0,12856.0,20732,937.596,2.44,2.62,68,False
51211,27.06,44.28,46.0,427.0,12859.0,20745,937.601,2.44,2.616,69,False
51212,27.06,44.36,47.0,426.0,12860.0,20754,937.592,2.41,2.589,70,False
51213,27.05,44.42,26.0,409.0,12865.0,20771,937.592,2.39,2.56,71,False
51214,26.99,44.47,30.0,423.0,12864.0,20767,937.582,2.31,2.484,72,False
